"automatic_water_benchmarking_eligible","bbl_on_the_covered_buildings_list","bbls_co_reported","bin","borough","census_tract","co_reported_bbl_status","community_board","council_district","direct_ghg_emissions_mtco2e","dof_benchmarking_submission_status","dof_number_of_buildings","dof_property_floor_area_buildngs_and_parking_ft2","energy_star_score","indirect_ghg_emissions_mtco2e","latitude","longitude","municipally_supplied_potable_water_indoor_intensity_gal_ft","nta","nyc_borough_block_and_lot_bbl","primary_property_type_self_selected","record_number","reported_nyc_building_identification_numbers_bins","reported_property_floor_area_building_s_ft","reported_water_method","site_eui_kbtu_ft2","source_eui_kbtu_ft2","street_name","street_number","total_ghg_emissions_mtco2e","weather_normalized_site_eui_kbtu_ft2","weather_normalized_source_eui_kbtu_ft2","zip_code"
"No","Yes",,,"QUEENS",,,,,"366","In Compliance ","1","50976","67","19",,,"77.28",,"4098200038","Multifamily Housing","4030193","4210117","50977","Manual","122","135.7","  88 AVENUE         ","   168-36","385","120.2","133.8","11432"
"Yes","Yes",,,"QUEENS",,,,,"398.1","In Compliance ","1","83763","6","207.4",,,"Not Available",,"4067977503","Multifamily Housing","4043176","4147000","74178","None","134.8","212","  72 AVENUE         ","   158-13","605.5","131.1","208.5","11365"
"No","Yes",,,"QUEENS",,,,,"542.1","In Compliance ","1","179024","81","79.1",,,"Not Available",,"4096640001","K-12 School","4364291","4206531","179024","None","62.3","76.6","  83 AVENUE         ","   137-02","621.2","60.9","75.1","11435"
"No","Yes",,,"QUEENS",,,,,"304.4","In Compliance ","1","93480","95","115.6",,,"Not Available",,"4097550006","Multifamily Housing","4397965","4208829","94000","None","75.8","110.6"," 153 STREET         ","    89-11","419.9","74.4","108.9","11432"
"No","Yes",,,"QUEENS",,,,,"255.5","In Compliance ","1","59470","84","66.8",,,"Not Available",,"4098140116","Multifamily Housing","4397966","4210060","60000","None","93.6","126.3"," 165 STREET         ","    87-84","322.3","92","124.7","11432"
"No","Yes",,,"QUEENS",,,,,"17.9","In Compliance ","1","263927","70","1443.5",,,"Not Available",,"4019180114","Office","2689283","4047337","259938","None","67.9","211.2","HORACE HARDING EXPRE","    96-05","1461.4","68.2","212.1","11368"
"No","Yes",,,"QUEENS",,,,,"338.5","In Compliance ","1","77106","47","75.5",,,"Not Available",,"4018377501","Multifamily Housing","2789660","4045238","64528","None","111.6","146.5","  51 AVENUE         ","    88-30","414","108.5","142.8","11373"
"No","Yes",,,"BRONX               ",,,,,"80.9","In Compliance ","2","174480","100","0",,,"Not Available",,"2023900024","Multifamily Housing","2831128","2091182;2091183","194550","None","7.8","8.2","       WASHINGTON ST","1285","80.9","Not Available","Not Available",
"No","Yes",,,"QUEENS",,,,,"179.9","In Compliance ","1","75838","72","302.4",,,"58.83",,"4118860001","Hotel","3762090","Not Available","84280","Manual","83.5","178"," 134 STREET         ","   148-18","482.3","82.2","175.1","11430"
"Yes","Yes",,,"QUEENS",,,,,"943.1","In Compliance ","1","276203","Not Available","306.9",,,"84.47",,"4050200001","Multifamily Housing","2704882","4113585","175676","ABS","103.3","150.6","ROOSEVELT AVENUE    ","   142-05","1250","97.5","144.6","11354"
"No","Yes",,,"QUEENS",,,,,"229.4","In Compliance ","2","132930","13","253",,,"Not Available",,"4050227502","Multifamily Housing","2710657","4446657","89960","None","81.9","156.9","ROOSEVELT AVENUE    ","   143-51","482.4","81.9","156.9","11354"
"Yes","Yes",,,"QUEENS",,,,,"272.5","In Compliance ","1","52800","4","115.7",,,"81.5",,"4023740160","Multifamily Housing","2726132","4054759","52800","ABS","119.9","180.8","  65 PLACE          ","    53-00","388.1","115.9","176.5","11378"
"Yes","Yes",,,"QUEENS",,,,,"490.3","In Compliance ","1","115212","55","169.3",,,"49.1",,"4065270052","Multifamily Housing","2721425","4141901","115181","ABS","97.9","139.8","MELBOURNE AVENUE    ","   144-75","659.6","97.9","139.8","11367"
"No","Yes",,,"BRONX               ",,,,,"2639.9","In Compliance ","1","58962","1","551.2",,,"Not Available",,"2029910034","Hospital (General Medical & Surgical)","2731801","2010685","68952","None","813.2","1055","HOE AVENUE          ","1788","3191.1","803.3","1044.5","10460"
"No","Yes",,,"QUEENS",,,,,"0","In Compliance ","1","80000","20","470.1",,,"Not Available",,"4004140041","Multifamily Housing","3481990","4534978","88000","None","64.4","202.3","CRESCENT STREET     ","    41-34","470.1","64.4","202.3","11101"
"Yes","Yes",,,"QUEENS",,,,,"172.5","In Compliance ","1","148956","100","196.6",,,"127.52",,"4014970023","Multifamily Housing","2739194","4037029","148956","ABS","32.2","66.5","  78 STREET         ","    41-50","369.1","32.1","66.4","11373"
"Yes","Yes",,,"QUEENS",,,,,"367.2","In Compliance ","1","75201","21","201.3",,,"50.84",,"4017040172","Multifamily Housing","3089758","4430230","89580","ABS","100.5","161.8","ASTORIA BOULEVARD   ","   110-14","568.5","93.8","154.8","11369"
"No","Yes",,,"QUEENS",,,,,"1259","In Compliance ","1","179494","Not Available","238",,,"Not Available",,"4015810001","Multifamily Housing","3116207","4039447","191910","None","103.9","137","BROADWAY            ","    83-45","1497","103.8","136.8","11373"
"Yes","Yes",,,"QUEENS",,,,,"316.9","In Compliance ","1","62640","40","103.8",,,"71.04",,"4005850035","Multifamily Housing","3447066","4007357","73080","ABS","98.8","139.5","  30 STREET         ","    34-20","420.6","94.8","135.5","11106"
"No","Yes",,,"QUEENS",,,,,"69.2","In Compliance ","1","57000","57","280.3",,,"Not Available",,"4033580018","Office","3895781","4080152","57000","None","82.2","210.2","QUEENS BOULEVARD    ","   120-46","349.5","81.3","210.1","11415"
"No","Yes",,,"QUEENS",,,,,"298","In Compliance ","1","52182","69","10.2",,,"49",,"4033400044","Multifamily Housing","4382978","4079815","65000","Manual","88.2","96.6","  76 ROAD           ","   111-23","308.3","88.2","96.6","11375"
