,Station_Longitude,Station_Name,Station_Latitude,lonlat,ZIPCODE
934,-73.94161700000001,116th St,40.798629,"(-73.941617000000008, 40.798628999999998)",10035
1633,-73.94161700000001,116th St,40.798629,"(-73.941617000000008, 40.798628999999998)",10035
1634,-73.94161700000001,116th St,40.798629,"(-73.941617000000008, 40.798628999999998)",10035
935,-73.94425,110th St,40.79502,"(-73.944249999999997, 40.795020000000001)",10029
936,-73.94425,110th St,40.79502,"(-73.944249999999997, 40.795020000000001)",10029
937,-73.947478,103rd St,40.7906,"(-73.947478000000004, 40.790599999999998)",10029
938,-73.947478,103rd St,40.7906,"(-73.947478000000004, 40.790599999999998)",10029
1635,-73.94425,110th St,40.79502,"(-73.944249999999997, 40.795020000000001)",10029
1636,-73.94425,110th St,40.79502,"(-73.944249999999997, 40.795020000000001)",10029
939,-73.95107,96th St,40.785672,"(-73.951070000000001, 40.785671999999998)",10128
940,-73.95107,96th St,40.785672,"(-73.951070000000001, 40.785671999999998)",10128
941,-73.95107,96th St,40.785672,"(-73.951070000000001, 40.785671999999998)",10128
942,-73.95107,96th St,40.785672,"(-73.951070000000001, 40.785671999999998)",10128
943,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
944,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
945,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
946,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
1637,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
1638,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
1639,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
1640,-73.955589,86th St,40.779492,"(-73.955589000000003, 40.779491999999998)",10028
947,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
948,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
949,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
950,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
1641,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
1642,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
1643,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
1644,-73.959874,77th St,40.77362,"(-73.959873999999999, 40.773620000000001)",10021
961,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
962,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
963,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
964,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
965,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
966,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
967,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
1659,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1660,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1661,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1662,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1663,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1664,-73.982076,33rd St,40.746081,"(-73.982076000000006, 40.746080999999997)",10016
1665,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
1666,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
1667,-73.984264,28th St,40.74307,"(-73.984263999999996, 40.743070000000003)",10016
1000,-73.85061999999999,Wakefield-241st St,40.903125,"(-73.850619999999992, 40.903125000000003)",10470
1001,-73.85061999999999,Wakefield-241st St,40.903125,"(-73.850619999999992, 40.903125000000003)",10470
1002,-73.85061999999999,Wakefield-241st St,40.903125,"(-73.850619999999992, 40.903125000000003)",10470
