BEDS CODE,School Name,County,School Type,Homeless Students,Borough,Zipcode,Latitude,Longitude
321000861075,atmosphere academy public charter,bronx,charter school,19,manhattan,10463,40.875066,-73.910166
321100860855,bronx charter sch better learning,bronx,charter school,9,bronx,10466,40.884414,-73.839656
321100860859,bronx charter sch-excellence,bronx,charter school,13,bronx,10462,40.834065,-73.858509
321100860909,icahn charter school 2,bronx,charter school,21,bronx,10462,40.845039,-73.857991
321100860917,icahn charter school 3,bronx,charter school,11,bronx,10461,40.856708,-73.843028
321100860948,icahn charter school 4,bronx,charter school,9,bronx,10461,40.856708,-73.843028
321100860982,icahn charter school 5,bronx,charter school,3,bronx,10461,40.856708,-73.843028
321100861064,charter high school-law and social,bronx,charter school,5,bronx,10453,40.853752,-73.911723
321200860870,bronx lighthouse charter school,bronx,charter school,24,bronx,10459,40.823225,-73.897384
321200860965,dr r izquierdo health/science charte,bronx,charter school,37,bronx,10456,40.827356,-73.900616
321200861010,roads charter school ii,bronx,charter school,36,bronx,10459,40.823276,-73.898313
321200861026,children's aid college prep charter,bronx,charter school,36,bronx,10461,40.850101,-73.850723
331300860902,achievement first endeavor charter,kings,charter school,57,brooklyn,11238,40.682402,-73.965945
331300861006,urban dove team charter school,kings,charter school,30,brooklyn,11216,40.689596,-73.950715
331300861063,brooklyn laboratory charter school,kings,charter school,19,brooklyn,11201,40.697117,-73.987324
331300861066,compass charter school,kings,charter school,8,brooklyn,11205,40.688532,-73.971473
331300861066,compass charter school,kings,charter school,8,manhattan,10006,40.708711,-74.01164
331300861079,international charter school of ny,kings,charter school,5,brooklyn,11201,40.692426,-73.986863
331400860865,williamsburg charter high school,kings,charter school,49,brooklyn,11206,40.70351,-73.9358
331400860945,northside charter high school,kings,charter school,10,brooklyn,11222,40.719672,-73.948025
331400861007,success academy charter-bed stuy 1,kings,charter school,52,brooklyn,11206,40.696705,-73.947263
331400861022,success academy charter-bed stuy 2,kings,charter school,37,brooklyn,11206,40.697703,-73.943401
331400861024,success academy cs-williamsburg,kings,charter school,23,brooklyn,11211,40.71186,-73.95997
331500860878,hellenic classical charter school,kings,charter school,26,brooklyn,11215,40.66292,-73.992141
331500860927,pave academy charter school,kings,charter school,34,brooklyn,11231,40.67598,-74.00393
331500860935,brooklyn prospect charter school,kings,charter school,20,brooklyn,11218,40.647946,-73.978706
331500861011,brooklyn urban garden charter school,kings,charter school,12,brooklyn,11215,40.656262,-73.982673
331500861016,new dawn charter high school,kings,charter school,23,brooklyn,11217,40.683001,-73.990495
331500861023,success academy cs-cobble hill,kings,charter school,23,brooklyn,11201,40.685158,-73.993651
331600860847,brooklyn excelsior charter sch,kings,charter school,40,brooklyn,11221,40.68969,-73.925125
331600860860,excellence boys char sch-bed stuy,kings,charter school,52,brooklyn,11233,40.683441,-73.925847
331600860918,bedford stuy collegiate charter sch,kings,charter school,19,brooklyn,11221,40.687938,-73.932374
331600860971,bedford stuy new beginnings charter,kings,charter school,66,brooklyn,11206,40.694662,-73.937706
331700860879,achievement first crown heights,kings,charter school,41,brooklyn,11216,40.677651,-73.942204
331700861027,explore exceed charter school,kings,charter school,26,brooklyn,11238,40.677021,-73.960053
331700861027,explore exceed charter school,kings,charter school,26,brooklyn,11225,40.664913,-73.959596
331700861040,success acad charter sch-prospect,kings,charter school,18,brooklyn,11213,40.672232,-73.937218
331800860908,kings collegiate charter school,kings,charter school,14,brooklyn,11216,40.677588,-73.941924
