,name,boro,zip,link,state,latlng,lat,lng
43,"Christmas In April-brooklyn, Inc. Brooklyn",Brooklyn,11201,https://www.shelterlistings.org/details/24863/,NY,"40.6915870,-73.9934080",40.6915870,-73.9934080
45,Brooklyn United For Innovative Local Development Inc Brooklyn,Brooklyn,11217,https://www.shelterlistings.org/details/24889/,NY,"40.6821740,-73.9749110",40.6821740,-73.9749110
46,"Brooklyn Bar Association Volunteer Lawyers Project, Inc. Brooklyn",Brooklyn,11201,https://www.shelterlistings.org/details/24896/,NY,"40.6940389,-73.9934910",40.6940389,-73.9934910
47,"Battered Women's Resource Center, Inc. Brooklyn",Brooklyn,11238,https://www.shelterlistings.org/details/24917/,NY,"40.6914651,-73.9823502",40.6914651,-73.9823502
48,"International Village Development, Inc. Brooklyn",Brooklyn,11211,https://www.shelterlistings.org/details/24931/,NY,"40.7033859,-73.9639785",40.7033859,-73.9639785
49,"Affordable Housing Centers Ofamerica, New York City Brooklyn",Brooklyn,11217,https://www.shelterlistings.org/details/27383/,NY,"40.6885320,-73.9811178",40.6885320,-73.9811178
50,Brooklyn Cooperative Federal Credit Union Brooklyn,Brooklyn,11237,https://www.shelterlistings.org/details/27384/,NY,"40.6988170,-73.9155190",40.6988170,-73.9155190
51,Brooklyn Housing And Family Services Brooklyn,Brooklyn,11218,https://www.shelterlistings.org/details/27385/,NY,"40.6457110,-73.9764220",40.6457110,-73.9764220
55,Cypress Hills Local Development Corporation Brooklyn,Brooklyn,11208,https://www.shelterlistings.org/details/27391/,NY,"40.6821940,-73.8762910",40.6821940,-73.8762910
56,Greenpath Brooklyn,Brooklyn,11201,https://www.shelterlistings.org/details/27392/,NY,"40.6934960,-73.9913700",40.6934960,-73.9913700
57,Neighborhood Housing Services Of Bedford-stuyvesant Brooklyn,Brooklyn,11221,https://www.shelterlistings.org/details/27393/,NY,"40.6893782,-73.9229382",40.6893782,-73.9229382
58,Neighborhood Housing Services Of East Flatbush Brooklyn,Brooklyn,11226,https://www.shelterlistings.org/details/27394/,NY,"40.6504819,-73.9510750",40.6504819,-73.9510750
59,"Neighbors Helping Neighbors, Inc. Brooklyn",Brooklyn,11232,https://www.shelterlistings.org/details/27395/,NY,"40.6519808,-74.0048717",40.6519808,-74.0048717
60,New York City Commission On Human Rights Brooklyn,Brooklyn,11217,https://www.shelterlistings.org/details/27396/,NY,"40.6884444,-73.9826415",40.6884444,-73.9826415
61,Ridgewood Bushwick Senior Citizens Council Inc. Brooklyn,Brooklyn,11237,https://www.shelterlistings.org/details/27397/,NY,"40.7022870,-73.9154820",40.7022870,-73.9154820
62,St Nicholas Neighborhood Preservation Corporation Brooklyn,Brooklyn,11211,https://www.shelterlistings.org/details/27398/,NY,"40.7133670,-73.9379340",40.7133670,-73.9379340
64,Chips - Frances Residency Program (for Women And Infants),Brooklyn,11217,https://www.shelterlistings.org/details/21106/,NY,"40.6783130,-73.9828550",40.6783130,-73.9828550
65,Providence House - Transitional Residences (for Women And Children),Brooklyn,11221,https://www.shelterlistings.org/details/21107/,NY,"40.6899950,-73.9327320",40.6899950,-73.9327320
68,Lutheran Social Lutheran Social Services - Bergen Street Residence,Brooklyn,11217,https://www.shelterlistings.org/details/21131/,NY,"40.6826780,-73.9808070",40.6826780,-73.9808070
69,Lutheran Social Services - Muhlenberg Residence (for Men),Brooklyn,11217,https://www.shelterlistings.org/details/21132/,NY,"40.6854540,-73.9814285",40.6854540,-73.9814285
70,Lutheran Social Services - Community House,Brooklyn,11215,https://www.shelterlistings.org/details/21133/,NY,"40.6684946,-73.9844904",40.6684946,-73.9844904
71,Help Usa - Help I,Brooklyn,11207,https://www.shelterlistings.org/details/21182/,NY,"40.6678270,-73.9001470",40.6678270,-73.9001470
72,Help Brownsville Women's Center - Help Brownsville Women's Center (for Women),Brooklyn,11233,https://www.shelterlistings.org/details/21183/,NY,"40.6735882,-73.9166027",40.6735882,-73.9166027
73,Help Usa - Genesis Neighborhood Plaza,Brooklyn,11207,https://www.shelterlistings.org/details/21185/,NY,"40.6659830,-73.9004380",40.6659830,-73.9004380
74,Help Usa - Help Womenâ€™s Center (for Women),Brooklyn,11207,https://www.shelterlistings.org/details/21187/,NY,"40.6731420,-73.9005240",40.6731420,-73.9005240
75,The Citizens Advice Bureau Bronx,Bronx,10453,https://www.shelterlistings.org/details/30579/,NY,"40.8533215,-73.9052899",40.8533215,-73.9052899
76,Casa Banome Housing Development Fund Corporation Bronx,Bronx,10457,https://www.shelterlistings.org/details/30206/,NY,"40.8454650,-73.8929940",40.8454650,-73.8929940
77,Park Avenue Thorpe Housing Development Fund Corporation Bronx,Bronx,10458,https://www.shelterlistings.org/details/30190/,NY,"40.8563931,-73.8947327",40.8563931,-73.8947327
79,"University Neighborhood Housing Program, Inc. Bronx",Bronx,10468,https://www.shelterlistings.org/details/23135/,NY,"40.8684040,-73.8933600",40.8684040,-73.8933600
81,Aquinas Housing Corporation Bronx,Bronx,10460,https://www.shelterlistings.org/details/24517/,NY,"40.8413011,-73.8827746",40.8413011,-73.8827746
82,1731 Harrison Avenue S I P Housing Development Fund Corporation Bronx,Bronx,10453,https://www.shelterlistings.org/details/24537/,NY,"40.8525380,-73.9076470",40.8525380,-73.9076470
83,Puerto Rican Orgnz To Motivate Enlighten And Serve Addicts Inc Bronx,Bronx,10457,https://www.shelterlistings.org/details/24550/,NY,"40.8461728,-73.9042876",40.8461728,-73.9042876
